id|typ_zhody|dovod_detail|spis|datum|sud|oblast|snippet|file
217067|SLOVNE|MATCH_STRICT_KEYWORDS|2Obdo/57/2021|2022-05-31|||ne uzatvorenej zmluvy, nič nebránilo, aby žalovaný si zmluvne dohodnutú splatnú zmluvnú pokutu započítal voči splatným pohľadávkam žalobcu. Odvolací súd mal za to, že žalovaným vyúčtovaná zmluvná pokuta vo výške 20.000,- Eur nie je neprimeraná vzhľadom na závažnosť konania pracovníkov žalobcu, ktorí svojim protiprávnym ko|217067_SLOVNE_2Obdo_57_2021.pdf
216579|PARAGRAF|MATCH_PARAGRAF_301|4Obdo/29/2021|2022-01-28|||§ 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364, § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a|216579_PARAGRAF_4Obdo_29_2021.pdf
215726|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/10/2021|2021-11-30|||sporiadal s otázkami oprávnenosti, výšky, platnosti a nárokovateľnosti samotnej zmluvnej pokuty a úrokov z omeškania, ako ani s moderačným právom, poukázal na to, že s uvedenými argumentmi sa rozhodcovský súd vysporiad|215726_SLOVNE_4Obdo_10_2021.pdf
213708|SLOVNE|MATCH_STRICT_KEYWORDS|5Obo/60/2012|2013-09-19||| a niektoré nie. Žalovaný na svoju obranu uviedol, že výška zmluvnej sankcie je primeraná strate, ktorá nesplnením záväzku mu vznikla a súčasne nebola neprimeraná k výške obchodného imania C., a. s. a nepreukazuje primeranosť zmluvnej pokuty, ktorú na seba prevzal dlžník v čase uzavretia odporovateľného právneho úkonu. |213708_SLOVNE_5Obo_60_2012.pdf
213707|SLOVNE|MATCH_STRICT_KEYWORDS|5Obo/61/2012|2013-09-19||| a niektoré nie. Žalovaný na svoju obranu uviedol, že výška zmluvnej sankcie je primeraná strate, ktorá nesplnením záväzku mu vznikla a súčasne nebola neprimeraná k výške obchodného imania C., a. s. a nepreukazuje primeranosť zmluvnej pokuty, ktorú na seba prevzal dlžník v čase uzavretia odporovateľného právneho úkonu. |213707_SLOVNE_5Obo_61_2012.pdf
213574|SLOVNE|MATCH_STRICT_KEYWORDS|1ObdoV/9/2014|2015-10-28|||žalobca požičané od spriaznených subjektov na úrokovú mieru 12% p. a. a 73% pri zmluvnej pokute, sa prejavili znížením odčerpateľných zdrojov. Konajúci súd sa oboznámil so znaleckým posudkom č. 79/2|213574_SLOVNE_1ObdoV_9_2014.pdf
213160|PARAGRAF|MATCH_PARAGRAF_301|2Obo/10/2012|2012-09-13|||nie je zmluvnou pokutou, a preto nespadá pod moderačné právo súdu upravené ust. § 301 Obch. zák. Odvolací súd tiež zhodne so súdom prvého stupňa nezistil v dohodnuto|213160_PARAGRAF_2Obo_10_2012.pdf
213159|PARAGRAF|MATCH_PARAGRAF_301|2Obo/51/2012|2012-09-13|||nie je zmluvnou pokutou, a preto nespadá pod moderačné právo súdu upravené ust. § 301 Obch. zák. Odvolací súd tiež zhodne so súdom prvého stupňa nezistil v dohodnuto|213159_PARAGRAF_2Obo_51_2012.pdf
213071|SLOVNE|MATCH_STRICT_KEYWORDS|2ObdoV/10/2016|2016-11-29|||vy z dôvodu, ţe sa prieči dobrým mravom , sa súd nestotoţnil, pretoţe dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, ţe ţalobca ne účtoval a nevymáhal od ţ|213071_SLOVNE_2ObdoV_10_2016.pdf
213070|SLOVNE|MATCH_STRICT_KEYWORDS|2ObdoV/9/2016|2016-11-29|||vy z dôvodu, ţe sa prieči dobrým mravom , sa súd nestotoţnil, pretoţe dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, ţe ţalobca ne účtoval a nevymáhal od ţ|213070_SLOVNE_2ObdoV_9_2016.pdf
212877|SLOVNE|MATCH_STRICT_KEYWORDS|1ObdoV/13/2014|2015-11-26|||vetlil právne dôvody, pre ktoré ţalobe voči ţalo vanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti ţalovanej |212877_SLOVNE_1ObdoV_13_2014.pdf
212876|SLOVNE|MATCH_STRICT_KEYWORDS|1ObdoV/14/2014|2015-11-26|||vetlil právne dôvody, pre ktoré ţalobe voči ţalo vanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti ţalovanej |212876_SLOVNE_1ObdoV_14_2014.pdf
211950|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/10/2006|2008-02-27|||o dohodu o zmluvnej pokute, takže by prichádzala do úvahy aplikácia ustanovenia § 301 ObZ. Preto, ak dovolací súd posúdi dovolanie žalobc u ako prípustné, navrhuje, |211950_PARAGRAF_5Obdo_10_2006.pdf
211770|SLOVNE|MATCH_STRICT_KEYWORDS|1ObdoV/119/2005|2008-01-31|||ospech koho je dohodnutá, aby si splnil zmluvnú povinnos ť, na ktorú je viazaná zmluvná pokuta. V danom prípade vzh ľadom na výšku zmluvnej pokuty 30% zo zmluvnej ceny, považoval zmlu vnú pokutu za primeranú. Nepriznal žalobcovi však ním uplatnený úrok z omeškania z kapitalizovaného úro|211770_SLOVNE_1ObdoV_119_2005.pdf
210224|PARAGRAF|MATCH_PARAGRAF_301|4Obdo/17/2016|2016-09-30|||okresný súd zaoberať obranou žalovaného s využitím moderačného oprávnenia podľa § 301 Obchodného zákonníka. 5. Okresný súd po vykonanom dokazovaní a aplikácii ust. §|210224_PARAGRAF_4Obdo_17_2016.pdf
209563|SLOVNE|MATCH_STRICT_KEYWORDS|2Obdo/101/2020|2021-06-23|||adávke žalobcu. 7.1. Súd prvej inštancie dospel k záveru, že stranami dojednaná zmluvná pokuta (jej výška) je celkom zjavne neprimerane vysoká, keďže žalovaným uplatnená výška zmluvnej pokuty predstavuje približne 3|209563_SLOVNE_2Obdo_101_2020.pdf
208613|SLOVNE|MATCH_STRICT_KEYWORDS|6Obo/221/2003|2012-10-30|||adávka navrhovateľa nebola v konkurze uspokojená, bude okrem splnenia podmienok zmluvnej pokuty, zaoberať aj primeranosťou jej výšky a tiež námietkou odporcu, že výkon tohto práva je v rozpore so zásada|208613_SLOVNE_6Obo_221_2003.pdf
206975|PARAGRAF|MATCH_PARAGRAF_301|5MObdo/1/2015|2015-10-27|||. § 1 ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, |206975_PARAGRAF_5MObdo_1_2015.pdf
206974|PARAGRAF|MATCH_PARAGRAF_301|5MObdo/3/2014|2015-09-10|||ozíciu ţalobcu v prípade ú vah súdu o uplatnení jeho moderačného práva v zmysle § 301 Obchodného zákonníka. Súd však v energetickom odvetví a na potrebu zachovávania|206974_PARAGRAF_5MObdo_3_2014.pdf
203237|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/27/2012|2013-01-31|||asť dreva podľa objednávky na tretí štvrťrok 2009 a nárok ţalobcu na zaplatenie zmluvnej pokuty podľa čl. XII., bod 12.2 je dôvodný. Čo sa týka výšky zmluvnej pokuty, resp. jej primeranosti, súd nezistil, ţe by zmluvná pokuta, dohodnutá zmluvnými stranami, bola neprime|203237_SLOVNE_4Obdo_27_2012.pdf
200257|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/2/2013|2013-03-18|||práva súdu, resp. okolností, ktoré pre uplatnenie moderačného práva sú v zmysle § 301 Obchodného zákonníka hodnota a význam zabezpečovanej povinnosti. Posúdenie prim|200257_PARAGRAF_5Obdo_2_2013.pdf
196893|PARAGRAF|MATCH_PARAGRAF_301|2Obdo/23/2012|2012-07-31|||sti žalobcom, výšku provízie, započítaciu námietku žalovaného. K aplikácii ust. § 301 OBZ a zníženiu ža lovaným uplatnenej pohľadávky zo zmluvnej pokuty, rovnako urč|196893_PARAGRAF_2Obdo_23_2012.pdf
196785|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/24/2012|2012-06-19|||bdo 24/2012 3 Ďalej súd prvého stupňa poukázal na § 580 Občianskeho zákonníka a § 301 a 302 Obchodného zákonníka a uviedol, že v konaní bolo preukázané, že žalovaný |196785_PARAGRAF_5Obdo_24_2012.pdf
196386|SLOVNE|MATCH_STRICT_KEYWORDS|5MObdo/1/2012|2012-04-29|||Bratislava III vydal platobný rozkaz v rozpore so zákonom. Ďalej namietal výšku zmluvnej pokuty, ktorá je vo výške 182,5% ročne neprimeraná. Súd vydal platobný rozkaze v rozpore s jeho návrhom v časti trov konania. Podľ|196386_SLOVNE_5MObdo_1_2012.pdf
196220|SLOVNE|MATCH_STRICT_KEYWORDS|1MObdo/6/2010|2011-06-30|||osti fakturácie a návrhu ţalobcu v tejto časti. Námietku odvolateľa týkajúcu sa neprimeranej výšky zmluvnej pokuty a nesúladu uplatnenia tohto práva ţalobcu so zásadami poctivého obchodného styk|196220_SLOVNE_1MObdo_6_2010.pdf
195921|SLOVNE|MATCH_STRICT_KEYWORDS|1Obdo/25/2012|2012-07-31|||amietal premlčanie dlţných splátok do 30.10.2005 a ţiadal, aby súd vyuţil svoje moderačné oprávnenie a neprimerane vysokú zmluvnú pokutu zníţil. Nakoľko však súd prvého stupňa uznal námietku premlčania uplatneného ná|195921_SLOVNE_1Obdo_25_2012.pdf
195421|PARAGRAF|MATCH_PARAGRAF_301|4MObdo/8/2011|2012-05-31|||ého práva tým, že zmluvná pokuta je dolnou hrani cou moderácie zmluvnej pokuty /§ 301 Obchodného zákonníka/. Ďalej dovolateľ poukazuje na obsahové náležitosti dohody|195421_PARAGRAF_4MObdo_8_2011.pdf
194696|SLOVNE|MATCH_STRICT_KEYWORDS|3obo/31/2008|2008-12-11|||ť, na ktorú je viazaná zmluvná pokuta pod hrozbou vzniku sankcie na z aplatenie zmluvnej pokuty. V danom prípade teda súd, vychádzajúc z výšky kúpnej ceny považoval 30 % zmluvnú pokutu, dohodnutú v zmluve za primeranú. Súd žalobcovi v ďalšom nepriznal ním uplatnený úrok z omeškania z kapitalizova|194696_SLOVNE_3obo_31_2008.pdf
194546|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/51/2011|2012-02-29|||etoţe spoločnosť S. mala podiel v spoločnosti L. S. M. H.. Ţalovaný namietal aj neprimeranú výšku zmluvnej pokuty, ktorá je v značnom nepomere k hodnote a významu zabezpečovanej povinnosti, tie|194546_SLOVNE_4Obdo_51_2011.pdf
194364|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/16/2011|2012-02-29|||j, že predmetná nájomná zmluva je neplatným právnym úkonom, ani na námietku, že zmluvná pokuta , dohodnutá medzi účastníkmi , je neprimerane vysoká. Súd prvého stupňa mal tiež za určité a zrozumiteľné dojednanie , týkajú|194364_SLOVNE_4Obdo_16_2011.pdf
193934|SLOVNE|MATCH_STRICT_KEYWORDS|5Obdo/47/2010|2011-04-20||| za každých aj len začatých 7 dní omeškania. Uvedené dohody o povinnosti platiť zmluvnú pokutu odporujú dobrým mravom v tom, že množstvom takýchto dojednaní sa umelo a neprimerane navyšuje záväzok dlžníka, stávali sa splatnými skôr než istina, čím sa dlžníkov|193934_SLOVNE_5Obdo_47_2010.pdf
192285|PARAGRAF|MATCH_PARAGRAF_301|2Obdo/46/2010|2011-09-27|||de sú splnené podmienky pre využitie tzv. moderačného práva v zmysle ustanovení § 301 Obchodného zákonníka. Preto s prihliadnutím na hodno tu a význam zabezpečovanej|192285_PARAGRAF_2Obdo_46_2010.pdf
192117|PARAGRAF|MATCH_PARAGRAF_301|5Obo/137/2006|2008-04-23|||i dohodnutá zmluvná pokuta 0,5 % denne a 1 % denne požíva právnu ochranu pod ľa § 301 a § 265 Ob chodného zákonníka a či dohodnutá zmluvná pokuta za omeškanie s úhra|192117_PARAGRAF_5Obo_137_2006.pdf
191851|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/10/2006|2008-05-15|||o dohodu o zmluvnej pokute, takže by prichádzala do úvahy aplikácia ustanovenia § 301 ObZ. Preto, ak dovolací súd posúdi dovolanie žalobc u ako prípustné, navrhuje, |191851_PARAGRAF_5Obdo_10_2006.pdf
190744|PARAGRAF|MATCH_PARAGRAF_301|5Obo/56/2007|2008-06-04|||liadnutím na všetky okolnosti prípadu využil svoje modera čné oprávnenie pod ľa § 301 ObZ a uplatnenú zmluvnú pokutu znížil na výšku jednej splátky, t. j. na sumu 50|190744_PARAGRAF_5Obo_56_2007.pdf
190326|PARAGRAF|MATCH_PARAGRAF_301|6Obdo/21/2007|2008-07-10|||. § 369 ods. 1 Obch. zák. Odvolací súd v predmetnom rozhodnutí neaplikoval ust. § 301 Obch. zák., ale v súlade s ust. § 265 Obch. zákonníka výkonu práva, kt orý je v|190326_PARAGRAF_6Obdo_21_2007.pdf
189421|SLOVNE|MATCH_STRICT_KEYWORDS|3Obo/106/2008|2009-06-17|||ého dokazovania žalovaný uznal žalobcov nárok na úhradu troch splátok pôžičky a primeranú zmluvnú pokutu. Žalobca preukázal, že žalovaný bol dlhodobo v omeškaní s platením splátok podľ|189421_SLOVNE_3Obo_106_2008.pdf
189070|PARAGRAF|MATCH_PARAGRAF_301|4Obo/258/2007|2009-05-05|||mala by ť dohoda o zmluvnej pokute aj účinná, považujú ju za neprimeranú pod ľa § 301 Obch. Z. Na záver odvolatelia ustálili , že sa im postupom súdu od ňala možnos |189070_PARAGRAF_4Obo_258_2007.pdf
188848|PARAGRAF|MATCH_PARAGRAF_301|6Obdo/22/2008|2008-12-11|||10,85 % z hodnoty zabezpečovanej povinnosti. Nebol dôvod aplikova ť ustanovenia § 301 Obchodného zákonníka a zmluvnú pokutu 6 Obdo 22/2008 3 znižovať. Z toho dôvodu |188848_PARAGRAF_6Obdo_22_2008.pdf
188409|SLOVNE|MATCH_STRICT_KEYWORDS|6MObdo/5/2009|2009-11-26|||pomeru medzi vzájomnými plneniami zmluvných strán, ktoré spo čívajú v dojednaní neprimeran ej výšky úrokov z omeškania či zmluvnej pokuty. Neprimeranosť konkrétneho dojednania spo číva najmä v hrubom nepomere, či už v|188409_SLOVNE_6MObdo_5_2009.pdf
188408|SLOVNE|MATCH_STRICT_KEYWORDS|6Obdo/36/2009|2009-11-26|||álne ju zaplati ť pri zachovaní proporcionality, vzájomných práv a povinnos tí (primerané úroky, primerané úroky z omeškania, príp. primerané zmluvné pokuty) tak, aby žalovaný ako veriteľ mohol realizovať 6 Obdo 36/2009 5 svoje práva zo|188408_SLOVNE_6Obdo_36_2009.pdf
188354|SLOVNE|MATCH_STRICT_KEYWORDS|5Obo/23/2009|2009-11-30|||ku, nepožíva právnu ochranu. V danom prípade súd prvého stup ňa záväzok plati ť zmluvnú pokutu v maximálnej výške 2 600 000 DEM vypo čítanú percentom 13%, t. j. 2,6% ro čne za dobu 5 rokov považoval za neprimeranú a v rozpore so zásadami poctivého obchodného styku i dobrými mravmi. Zmluvná po|188354_SLOVNE_5Obo_23_2009.pdf
188348|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/36/2009|2009-12-16||| názorom súdu prvého stupňa, keď nevyužil svoje moderačné oprávnenie podľa ust. § 301 OBZ, nako ľko dojednaním zmluvnej pokuty zmluvné strany naplnili zásadu zmluvne|188348_PARAGRAF_5Obdo_36_2009.pdf
187908|SLOVNE|MATCH_STRICT_KEYWORDS|4Obo/119/2007|2008-04-24|||vo zvážená ob oma zmluvnými stranami. Nako ľko došlo k uzatvoreniu zmluvy, bola zmluvná pokuta dojednaná pr imerane hodnote a významu zabezpe čovanej povinnosti, avšak ak by súd zastával názor, že zmluvná pokuta je neprimerane vysoká, vzniká tu priestor pre antilib erálne právo súdu zníži ť zmluvnú pokutu|187908_SLOVNE_4Obo_119_2007.pdf
187052|PARAGRAF|MATCH_PARAGRAF_301|3Obo/141/2007|2008-10-13|||e to napr. pri úprave modera čného práva súdu vo vzťahu k zmluvnej pokute podľa § 301 Obchodného zákonníka). Z vyššie uvedeného dôvodu žalobca považoval rozsudok v n|187052_PARAGRAF_3Obo_141_2007.pdf
186918|PARAGRAF|MATCH_PARAGRAF_301|1Obo/3/2007|2008-05-13|||, 45% úrok z omeškania ro čne z dlžnej sumy od 28.10.2001 do zaplatenia. Pod ľa § 301 ods. 1 Ob čianskeho zákonníka Ma ďarskej republiky v prípade peňažného dlhu, ak|186918_PARAGRAF_1Obo_3_2007.pdf
186916|SLOVNE|MATCH_STRICT_KEYWORDS|1ObdoV/119/2005|2008-01-31|||ospech koho je dohodnutá, aby si splnil zmluvnú povinnos ť, na ktorú je viazaná zmluvná pokuta. V danom prípade vzh ľadom na výšku zmluvnej pokuty 30% zo zmluvnej ceny, považoval zmlu vnú pokutu za primeranú. Nepriznal žalobcovi však ním uplatnený úrok z omeškania z kapitalizovaného úro|186916_SLOVNE_1ObdoV_119_2005.pdf
186374|PARAGRAF|MATCH_PARAGRAF_301|4Obo/192/2007|2008-10-16|||úcim sa Obchodným zákonníkom, nakoľko zmluvu uzatvárali právnické osoby. Pod ľa § 301 Obch.Z. platí, že súd nemusí prizna ť zmluvnú pokutu v celej výške, ustanovenie|186374_PARAGRAF_4Obo_192_2007.pdf
186329|SLOVNE|MATCH_STRICT_KEYWORDS|2obdo/30/2008|2008-10-28|||a za následok vyhlásenie konkurzu na akciovú spolo čnosť. Súd výšku požadovanej zmluvnej pokuty posúdil ako primeranú. Ke ďže sa žalovaný dostal s pl nením svojej povinnosti do omeškania, súd podľa|186329_SLOVNE_2obdo_30_2008.pdf
186136|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/43/2007|2008-10-22|||je. Napriek uvedeným skuto čnostiam súd vo veci rozhodol. Taktiež sa nezaoberal primeranosťou výšky zmluvnej pokuty. 4 Obdo 43/2007 3 Krajský súd v Nitre ako súd odvolací konanie podľa § 10 ods.1|186136_SLOVNE_4Obdo_43_2007.pdf
186099|PARAGRAF|MATCH_PARAGRAF_301|6Obo/25/2008|2008-09-04|||mluvnej pokuty v sume 22 253,16,-- EUR pokladal za neprimerane vysokú. V zmysle § 301 Obchodného zákonníka zmluvnú pokutu znížil na jednu tretinu z uplatnenej sumy, |186099_PARAGRAF_6Obo_25_2008.pdf
185758|SLOVNE|MATCH_STRICT_KEYWORDS|5Obdo/4/2008|2008-10-22|||upu v prípade 5 Obdo 4/2008 4 poistnej udalosti. To isté pla tí i pre uplatnenú zmluvnú pokutu pod ľa čl. VI, bod 2 písm. d/ poistnej zmluvy, týkajúceho sa predloženia dokla dov a zníženia poistného plnenia vo výške 50 %, čo si žalobca vy číslil sumou 132 473,-- Sk, k|185758_SLOVNE_5Obdo_4_2008.pdf
184205|SLOVNE|MATCH_STRICT_KEYWORDS|5Obdo/11/2008|2008-12-11|||d prvého stup ňa nevyužil modera čné právo a nevyhovel tak návrhu žalovaného na zníženie zmluvnej pokuty, pr etože dojednaním zmluvnej pokuty ú častníci naplnili zásadu zmluvnej vo ľno|184205_SLOVNE_5Obdo_11_2008.pdf
183332|PARAGRAF|MATCH_PARAGRAF_301|1Obo/116/2007|2009-06-29||| nemá ni č spoločné s možnos ťou zníženia zmluvnej pokuty zo strany súdu pod ľa § 301 OBZ. Navrhovateľ na základe rozhodnutia Bankovej rady zo d ňa 15. 08. 2000 zmlu|183332_PARAGRAF_1Obo_116_2007.pdf
183300|SLOVNE|MATCH_STRICT_KEYWORDS|1Obo/158/2007|2009-06-29||| zmenu žalobného petitu tak, že žiadal 25 489 284 Sk istiny ako náhradu škody a zmluvnú pokutu 4 708 316 Sk, obe sumy spolu s 11,33 % úrokom z omeškania od 19. 12. 2002. Celková výška istiny sa teda znížila na sumu 30 197 600 Sk, čo je o 8 426 583,95 Sk menej oproti pôvodnému návrhu.. |183300_SLOVNE_1Obo_158_2007.pdf
182159|PARAGRAF|MATCH_PARAGRAF_301|4Obo/210/2007|2009-01-20||| výška v čase uzatvárania zmluvy na rok 1996 bola bežnou, a preto s poukazom na § 301 Obchodného zákonníka, nie je dôvod na využitie moderačného práva. O úrokoch z d|182159_PARAGRAF_4Obo_210_2007.pdf
181814|SLOVNE|MATCH_STRICT_KEYWORDS|6Obo/166/2008|2009-04-17|||obcu na zmluvnú pokutu 12 500,-- Sk pod ľa čl. 5.2 zmluvy s tvrdením, že takáto zmluvná pokuta je v rozpore s dobrými mravmi pod ľa § 39 Ob čianskeho zákonníka, pretože k výške poskytnutého úveru je zjavne neprimeraná. Krajský súd dospel k záveru, že táto nie je dôvodná, nakoľko pôvodne žalovaná |181814_SLOVNE_6Obo_166_2008.pdf
