id|match_type|spisova_znacka|datum|kolegium|senat|ecli|merito|sudca|snippet|pdf_file
234689|MATCH_KEYWORDS|4Obdo/83/2021|2022-12-15|2|4|ECLI:SK:NSSR:2022:6418203513.1|687 434,50 eur s prísl. a zmluvnou pokutou|JUDr. Alena Priecelová|a dostane do omeškania s úhradou ktorejkoľvek faktúry, v bode 7.2 Zmluvy dohodli právo žalobcu uplatniť voči žalovanému zmluvnú pokutu vo výške 0,03 % z dlžnej čiastky za každý deň omeškania. Súd prvej inštancie mal za to, že sa nejedná o neprimerane vysokú zmluvnú pokutu, účastníci si predmetnú sankciu dohodli, žalovaný s dohodnutou výškou zmluvnej pokuty súhlasil, p|234689_MATCH_KEYWORDS_4Obdo_83_2021.pdf
233956|MATCH_PARAGRAF_301|2Obdo/31/2022|2023-05-30|2|2|ECLI:SK:NSSR:2023:9022200009.1|zrušenie zápisu údajov do obchodného registra|JUDr. Beáta Miničová|1 ods. 2 CSP). 16. Podľa ust. § 7 ods. 1 CMP, účastníkom je ten, koho tento zákon za účastníka označuje. 17. Podľa ust. § 301 ods. 1 CMP, účastníkom konania o zrušenie zápisu údajov do obchodného registra je navrhovateľ, zapísaná osoba a osoba, |233956_MATCH_PARAGRAF_301_2Obdo_31_2022.pdf
233884|MATCH_PARAGRAF_301|1Obdo/80/2022|2023-05-23|2|1|ECLI:SK:NSSR:2023:2116222110.1|1 000 eur s prísl.|JUDr. Miroslava Janečková|ásobku dohodnutej prepravy. Súd mal za to, že v posudzovanom prípade je potrebné uplatniť moderačné právo súdu v zmysle § 301 Obchodného zákonníka a neprimerane vysokú zmluvnú pokutu znížiť s ohľadom na hodnotu a význam zabezpečovanej povinnosti|233884_MATCH_PARAGRAF_301_1Obdo_80_2022.pdf
233538|MATCH_PARAGRAF_301|4Obdo/65/2022|2023-03-30|2|4|ECLI:SK:NSSR:2023:7110230074.2|115 903,10 eur s prísl.|JUDr. Lenka Praženková|vej inštancie vec právne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364 a § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela, započítanie pohľad|233538_MATCH_PARAGRAF_301_4Obdo_65_2022.pdf
220081|MATCH_KEYWORDS|4Obdo/95/2021|2022-10-31|2|4|ECLI:SK:NSSR:2022:6119238535.1|112 705,32 eur s prísl.|JUDr. Gabriela Mederová|luvy naďalej vozil odpad na skládku žalobcu, nerobil tak podľa žalovaného na základe tejto zmluvy. Žalovaný namietal aj neprimerane vysokú zmluvnú pokutu, ktorá je vo výške takmer 50 % z celkovej výšky plnenia za rok 2015 a takmer 100 % z celkovej výšky plnenia za rok 2016|220081_MATCH_KEYWORDS_4Obdo_95_2021.pdf
219818|MATCH_PARAGRAF_301|5MObdo/1/2015|2015-10-28|2|5|ECLI:SK:NSSR:2015:8705214351.1|102 901,15 eur s prísl.|JUDr. Darina Ličková| ods. 3 Občianskeho zákonníka, ďalej ust. § 1 ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, ďalej na ust. § 302, § 344, § 351 ods. 1|219818_MATCH_PARAGRAF_301_5MObdo_1_2015.pdf
218911|MATCH_PARAGRAF_301|1Obdo/84/2021|2022-09-27|2|1|ECLI:SK:NSSR:2022:2718200808.2|2 400 eur s prísl.|JUDr. Miroslava Janečková|pokuty. Na základe návrhu žalovanej súd preskúmal, či sú naplnené podmienky moderácie zmluvnej pokuty podľa ustanovenia § 301 Obchodného zákonníka, ktorými sú najmä hodnota a význam zabezpečovanej povinnosti, hospodárska pozícia zmluvných strán |218911_MATCH_PARAGRAF_301_1Obdo_84_2021.pdf
217228|MATCH_KEYWORDS|4Obdo/30/2021|2022-04-29|2|4|ECLI:SK:NSSR:2022:1417206067.1|9 049,32 eur s prísl.|JUDr. Lenka Praženková|, teda zvyšok činil výšku 10.628,88 eur. Dohodou o vzájomnom zápočte medzi zmluvnými stranami zo dňa 11.07.2017 bol dlh znížený o výšku 1.428,43 eur na výšku 9.200,45 eur. Jednostranným započítaním zo dňa 11.07.2017 žalovaným boli započítané jeho pohľadávky titulom zmluvnej pokuty vo výške 61.808,25 eur, ktoré mal voči pohľadávkam žalobcu vo výške 60.284,21 eur, v ktorom zápočte bola aj časť faktúr|217228_MATCH_KEYWORDS_4Obdo_30_2021.pdf
217067|MATCH_KEYWORDS|2Obdo/57/2021|2022-05-31|2|2|ECLI:SK:NSSR:2022:6619200251.1|náhradu škody 322 507,55 eur s prísl.|JUDr. Beáta Miničová|atnil v zmysle medzi stranami sporu platne uzatvorenej zmluvy, nič nebránilo, aby žalovaný si zmluvne dohodnutú splatnú zmluvnú pokutu započítal voči splatným pohľadávkam žalobcu. Odvolací súd mal za to, že žalovaným vyúčtovaná zmluvná pokuta vo výške 20.000,- Eur nie je neprimeraná vzhľadom na závažnosť konania pracovníkov žalobcu, ktorí svojim protiprávnym konaním preukázaným v rámci trestného kona|217067_MATCH_KEYWORDS_2Obdo_57_2021.pdf
216579|MATCH_PARAGRAF_301|4Obdo/29/2021|2022-01-28|2|4|ECLI:SK:NSSR:2022:7110230074.1|115 903,10 eur s prísl.|JUDr. Alena Priecelová|rvej inštancie vec právne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364, § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela, započítanie pohľad|216579_MATCH_PARAGRAF_301_4Obdo_29_2021.pdf
215726|MATCH_KEYWORDS|4Obdo/10/2021|2021-11-30|2|4|ECLI:SK:NSSR:2021:1115201169.1|zrušenie rozhodcovského rozsudku|JUDr. Gabriela Mederová|iam žalobcu, že rozhodcovský súd sa nevysporiadal s otázkami oprávnenosti, výšky, platnosti a nárokovateľnosti samotnej zmluvnej pokuty a úrokov z omeškania, ako ani s moderačným právom, poukázal na to, že s uvedenými argumentmi sa rozhodcovský súd vysporiadal v odôvodnení napadnutého rozhodcovské|215726_MATCH_KEYWORDS_4Obdo_10_2021.pdf
213071|MATCH_KEYWORDS|2ObdoV/10/2016|2016-11-29|2|2||o zaplatenie 1 813 217,82 eur s prísl.||vaného o neplatnosti čl. VIII bod 2 zmluvy z dôvodu, ţe sa prieči dobrým mravom , sa súd nestotoţnil, pretoţe dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, ţe ţalobca ne účtoval a nevymáhal od ţalovaného zaplatenie zmluvnej pokuty pod|213071_MATCH_KEYWORDS_2ObdoV_10_2016.pdf
213070|MATCH_KEYWORDS|2ObdoV/9/2016|2016-11-29|2|2||o zaplatenie 1 813 217,82 eur s prísl.||vaného o neplatnosti čl. VIII bod 2 zmluvy z dôvodu, ţe sa prieči dobrým mravom , sa súd nestotoţnil, pretoţe dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, ţe ţalobca ne účtoval a nevymáhal od ţalovaného zaplatenie zmluvnej pokuty pod|213070_MATCH_KEYWORDS_2ObdoV_9_2016.pdf
212877|MATCH_KEYWORDS|1ObdoV/13/2014|2015-11-26|2|1||o zaplatenie 255 534,28 eur s prísl.||osť. Odvolací súd jasne a dostatočne vysvetlil právne dôvody, pre ktoré ţalobe voči ţalo vanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti ţalovanej 1/ za vzniknutú škodu. Najvyšší súd Slov|212877_MATCH_KEYWORDS_1ObdoV_13_2014.pdf
212876|MATCH_KEYWORDS|1ObdoV/14/2014|2015-11-26|2|1||o zaplatenie 255 534,28 eur s prísl.||osť. Odvolací súd jasne a dostatočne vysvetlil právne dôvody, pre ktoré ţalobe voči ţalo vanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti ţalovanej 1/ za vzniknutú škodu. Najvyšší súd Slov|212876_MATCH_KEYWORDS_1ObdoV_14_2014.pdf
210224|MATCH_PARAGRAF_301|4Obdo/17/2016|2016-09-30|2|4|ECLI:SK:NSSR:2016:5414200612.1|zaplatenie 4 832 eur s prísl.|JUDr. Viera Pepelová|ia zmluvnej povinnosti žalovaným sa mal okresný súd zaoberať obranou žalovaného s využitím moderačného oprávnenia podľa § 301 Obchodného zákonníka. 5. Okresný súd po vykonanom dokazovaní a aplikácii ust. § 261 ods. 1, § 672a ods. 1, 2 Obchodného|210224_MATCH_PARAGRAF_301_4Obdo_17_2016.pdf
209563|MATCH_KEYWORDS|2Obdo/101/2020|2021-06-23|2|2|ECLI:SK:NSSR:2021:6118286518.1|128 260,08 eur s prísl.|JUDr. Beáta Miničová|ným jednostranným započítaním proti pohľadávke žalobcu. 7.1. Súd prvej inštancie dospel k záveru, že stranami dojednaná zmluvná pokuta (jej výška) je celkom zjavne neprimerane vysoká, keďže žalovaným uplatnená výška zmluvnej pokuty predstavuje približne 35,99 % ceny diela a v prípade, ak by bol|209563_MATCH_KEYWORDS_2Obdo_101_2020.pdf
206975|MATCH_PARAGRAF_301|5MObdo/1/2015|2015-10-27|2|5||o zaplatenie 102 901,15 eur s príslušenstvom|| ods. 3 Občianskeho zákonníka, ďalej ust. § 1 ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, ďalej na ust. § 302, § 344, § 351 ods. 1|206975_MATCH_PARAGRAF_301_5MObdo_1_2015.pdf
206974|MATCH_PARAGRAF_301|5MObdo/3/2014|2015-09-10|2|5||o zaplatenie 9 432 475,66 eur s prísl.||ú význam napríklad v tom, ţe vylepšujú pozíciu ţalobcu v prípade ú vah súdu o uplatnení jeho moderačného práva v zmysle § 301 Obchodného zákonníka. Súd však v energetickom odvetví a na potrebu zachovávania právnej istoty, týkajúcej sa dohodnutýc|206974_MATCH_PARAGRAF_301_5MObdo_3_2014.pdf
175642|MATCH_PARAGRAF_301|4Obdo/108/2019|2021-05-31|2|4|ECLI:SK:NSSR:2021:1411204833.2|5 600 eur s prísl.|JUDr. Gabriela Mederová|a uplatnená zmluvná pokuta bola neprimerane vysoká, súd pristúpil k moderácii tejto uplatnenej zmluvnej pokuty v zmysle § 301 Obchodného zákonníka. Žalobca tvrdil, že mu nefunkčnosťou web stránky vznikla veľká škoda, tým že nemohol klientom cez |175642_MATCH_PARAGRAF_301_4Obdo_108_2019.pdf
162527|MATCH_KEYWORDS|1ObdoV/14/2014|2015-11-26|2|1|ECLI:SK:NSSR:2015:6007201265.2|255 534,28 eur s prísl.|JUDr. Beáta Miničová|vosť. Odvolací súd jasne a dostatočne vysvetlil právne dôvody, pre ktoré žalobe voči žalovanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti žalovanej 1/ za vzniknutú škodu. Najvyšší súd Slov|162527_MATCH_KEYWORDS_1ObdoV_14_2014.pdf
162519|MATCH_KEYWORDS|1ObdoV/13/2014|2015-11-26|2|1|ECLI:SK:NSSR:2015:6007201265.1|255 534,28 eur s prísl.|JUDr. Beáta Miničová|vosť. Odvolací súd jasne a dostatočne vysvetlil právne dôvody, pre ktoré žalobe voči žalovanej 1/ bolo sčasti vyhovené. Primerane vysvetlil dôvody zmluvnej pokuty ako pohľadávky proti podstate a jednotlivé predpoklady zodpovednosti žalovanej 1/ za vzniknutú škodu. Najvyšší súd Slov|162519_MATCH_KEYWORDS_1ObdoV_13_2014.pdf
162190|MATCH_KEYWORDS|2Obdo/1/2015|2016-02-29|2|2|ECLI:SK:NSSR:2016:5105206100.1|zaplatenie 8 345,51 eur s prísl.|JUDr. Ivana Izakovičová|anami platne dojednaná v Nájomnej zmluve. Okresný súd poukázal na skutočnosť, že na návrh účastníka mohol rozhodnúť, že zmluvnú pokutu neprizná v celej výške, t.j. vo výške v akej bola stranami dojednaná a svojím moderačným (zmierňovacím právom) mohol zasiahnuť do zmluvných vzťahov účastníkov a tieto potom primeraným spôsobom modifikovať. Pr|162190_MATCH_KEYWORDS_2Obdo_1_2015.pdf
160260|MATCH_KEYWORDS|3Obdo/21/2015|2016-04-27|2|3|ECLI:SK:NSSR:2016:6108223503.1|odstránenie vád|JUDr. Jana Veselá  Zemaníková|v, ak kupujúci oznámi, že v primeranej lehote tieto vady neodstráni. V takomto prípade, môže kupujúci aj pred uplynutím primeranej lehoty na odstránenie vád tovaru zmeniť svoj nárok a uplatniť zľavu z ceny a môže uplatniť nárok na náhradu škody a zmluvnú pokutu. V prípade márneho uplynutia primeranej lehoty na odstránenie vád tovaru môže kupujúci uplatniť zľavu z kúpnej ceny, al|160260_MATCH_KEYWORDS_3Obdo_21_2015.pdf
160187|MATCH_KEYWORDS|5Obdo/33/2015|2016-04-21|2|5|ECLI:SK:NSSR:2016:8210205720.1|43 686,25 eur s prísl.|JUDr. Darina Ličková|motnej výpovede žalovaného a zo stanoviska žalobcu. Zmluva na podporu predaja bola uzavretá na 3 mesiace bez akejkoľvek zmluvnej pokuty, bez uvedenia spojitosti tejto zmluvy s kúpnou zmluvou a mala predstavovať výhodu zníženia ceny Miktelu o 2,50 Sk. V čom spočíva výhodnosť tejto zmluvy, odvolaciemu súdu nebolo známe, pretože kúpna zmluva bola |160187_MATCH_KEYWORDS_5Obdo_33_2015.pdf
158173|MATCH_PARAGRAF_301|2Obdo/23/2015|2016-06-23|2|2|ECLI:SK:NSSR:2016:1312213298.1|zaplatenie 190 900 eur s prísl.|JUDr. Ivana Izakovičová| ods. 1 Obchodného zákonníka. Ďalej súd prvého stupňa uviedol, že nemohol znížiť dohodnutú zmluvnú pokutu v zmysle ust. § 301 Obchodného zákonníka do výšky skutočnej škody, pretože za skutočnú škodu treba považovať dohodnutú výšku nájomného za p|158173_MATCH_PARAGRAF_301_2Obdo_23_2015.pdf
156356|MATCH_KEYWORDS|4Obo/23/2015|2016-11-30|2|4|ECLI:SK:NSSR:2016:7010210195.1|164 957,85 eur s prísl.|JUDr. Alena Priecelová|o dokladu ani pokladničné evidenčné číslo, je teda zrejmé, že tento doklad nebol zaevidovaný v účtovníctve žalovaného a neprimerane vysoká zmluvná pokuta (100% hodnoty úveru) odporuje zásadám poctivého obchodného styku a dobrým mravom. 20. Pohľadávka žalobcu, ktorej pravos|156356_MATCH_KEYWORDS_4Obo_23_2015.pdf
154255|MATCH_KEYWORDS|2ObdoV/10/2016|2016-11-29|2|2|ECLI:SK:NSSR:2016:1099899672.2|1 813 217,82 eur s prísl.|JUDr. Viera Pepelová|ovaného o neplatnosti čl. VIII bod 2 zmluvy z dôvodu, že sa prieči dobrým mravom, sa súd nestotožnil, pretože dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, že žalobca neúčtoval a nevymáhal od žalovaného zaplatenie zmluvnej pokuty podľ|154255_MATCH_KEYWORDS_2ObdoV_10_2016.pdf
152385|MATCH_KEYWORDS|2ObdoV/9/2016|2016-11-29|2|2|ECLI:SK:NSSR:2016:1099899672.1|1 813 217,82 eur s prísl.|JUDr. Viera Pepelová|ovaného o neplatnosti čl. VIII bod 2 zmluvy z dôvodu, že sa prieči dobrým mravom, sa súd nestotožnil, pretože dohodnutá zmluvná pokuta neposkytovala a ani neposkytuje nájomcovi neprimeranú a neodôvodnenú výhodu. 3. Súd mal za to, že žalobca neúčtoval a nevymáhal od žalovaného zaplatenie zmluvnej pokuty podľ|152385_MATCH_KEYWORDS_2ObdoV_9_2016.pdf
150175|MATCH_KEYWORDS|2Obdo/14/2016|2017-03-29|2|2|ECLI:SK:NSSR:2017:7110215450.2|96 846,02 eur|JUDr. Beáta Miničová|í všeobecne záväzných právnych predpisov, ktorá by bola popretím ich účelu, podstaty a zmyslu. 39. Okresný súd Košice I primerane vysvetlil, z akých úvah vychádzal pri závere, že zmluvná pokuta uplatnená podľa tohto ustanovenia zmluvy sa odvíja od nedodržania postupu prác podľa vzájomne odsúhlaseného harmonogram|150175_MATCH_KEYWORDS_2Obdo_14_2016.pdf
148045|MATCH_PARAGRAF_301|5Obdo/63/2016|2017-04-25|2|5|ECLI:SK:NSSR:2017:8111233061.1|zaplatenie 60 000-UDS a 270 000 eur s príl.|JUDr. Darina Ličková|obohatenia. Taktiež vzhľadom na všetky okolnosti prípadu odvolací súd nevzhliadol dôvod použiť moderačné právo v zmysle § 301 Obchodného zákonníka. 15. Odvolací súd taktiež dospel k záveru, že nie je opodstatnená ani námietka žalovaného ako odvo|148045_MATCH_PARAGRAF_301_5Obdo_63_2016.pdf
144214|MATCH_KEYWORDS|4Obdo/22/2017|2017-09-29|2|4|ECLI:SK:NSSR:2017:8210205869.2|33 193,92 eur s prísl.|JUDr. Alena Priecelová|ádzala, že dojednanie v zmluve je neurčité, pretože nemožno celkom jednoznačne definovať rozsah obmedzení žalovanej, je neprimerané, pretože zmluvná pokuta, ktorá bola dohodnutá vo výške 1.000.000,-Sk je neprimeraná k jej odmene za hodinu práce, ktorá bola vo výške 103,-Sk. |144214_MATCH_KEYWORDS_4Obdo_22_2017.pdf
143288|MATCH_KEYWORDS|3Obdo/24/2017|2017-10-04|2|3|ECLI:SK:NSSR:2017:8115205000.1|určenie pravosti popretých pohľadávok|JUDr. Ľubomíra Kúdelová|teľov, prípadne ostatných veriteľov ukracujú. Takýmto úkonom bolo aj ručiteľské vyhlásenie. Zároveň zaujal stanovisko k neprimeranosti úrokov z omeškania (54,74 %), ktoré sú v rozpore s dobrými mravmi a odkázal na rozhodnutie sp. zn. 6MObdo/5/2009. K zmluvnej pokute 4 800,- eur uviedol, že dojednanie o zmluvnej pokute je neplatné, pre jeho neurčitosť, nakoľko neobsahuje výšku zmluvne|143288_MATCH_KEYWORDS_3Obdo_24_2017.pdf
140008|MATCH_PARAGRAF_301|1Obdo/40/2017|2018-01-30|2|1|ECLI:SK:NSSR:2018:4105220661.1|29 274,36 eur s prísl.|JUDr. Jana Hullová|ýške 21 443,27 eur odvolací súd len znížil (modifikoval) v prospech žalovaného, uplatniac moderačné právo v zmysle ust. § 301 Obch. zákonníka. Keďže v posudzovanom prípade nebolo potrebné zopakovať alebo doplniť dokazovanie a v spore nebol ziste|140008_MATCH_PARAGRAF_301_1Obdo_40_2017.pdf
130841|MATCH_KEYWORDS|2Obdo/31/2018|2019-05-30|2|2|ECLI:SK:NSSR:2019:5713201841.1|19 205,59 eur a v konaní o odstránenie vád diela|JUDr. Ivana Izakovičová| sumy zmluvná pokuta, a to od 27.10.2012 do 31.3.2013 predstavovala sumu 19 205,59 Eur. Súd nemal dôvod takto vyčíslenú zmluvnú pokutu žalobcovi nepriznať, pretože nárok považoval za preukázaný. Žalovaný výšku zmluvnej pokuty nenamietal, preto nebol dôvod na využitie moderačného práva súdom. 5. Krajský súd v Žiline, ako súd odvolací, na odvolanie žalovaného, napadnutým rozsudkom zo dňa 28. júna 2|130841_MATCH_KEYWORDS_2Obdo_31_2018.pdf
130236|MATCH_PARAGRAF_301|3Obdo/11/2019|2019-07-17|2|3|ECLI:SK:NSSR:2019:8710206608.1|9 616,52 eur s prísl.|JUDr. Ľubomíra Kúdelová|nštatoval, že sa v celom rozsahu stotožnil s odôvodnením rozsudku súdu prvej inštancie poukazujúc na znenie ustanovenia § 301 Obchodného zákonníka, ktoré umožňuje súdu znížiť zmluvnú pokutu. Podľa názoru odvolacieho súdu je rozhodnutie okresného|130236_MATCH_PARAGRAF_301_3Obdo_11_2019.pdf
130174|MATCH_PARAGRAF_301|4Obdo/50/2018|2019-07-31|2|4|ECLI:SK:NSSR:2019:6707214357.1|177 622,31 eur s prísl.|JUDr. Viera Pepelová|venia Obchodného zákonníka, súd prvej inštancie aplikoval pri jej posudzovaní aj § 300 a nasl. ObchZ, pričom k uvedeniu § 301 ObchZ došlo zrejme len omylom, keďže využitie moderačného oprávnenia navrhol žalovaný len v záverečnom štádiu konania p|130174_MATCH_PARAGRAF_301_4Obdo_50_2018.pdf
129949|MATCH_PARAGRAF_301|5Obdo/27/2018|2019-07-30|2|5|ECLI:SK:NSSR:2019:5610201503.1|138 252,66 eur s prísl.|JUDr. Anna Marková|ani s poctivým obchodným stykom. Rovnako aj k žalovaným 1/ a 2/ uplatnenému návrhu na moderovanie zmluvnej pokuty podľa § 301 Obchodného zákonníka, súd prvej inštancie vyjadril zreteľným spôsobom svoje závery, keď mal za to, že nebolo možné hovo|129949_MATCH_PARAGRAF_301_5Obdo_27_2018.pdf
129456|MATCH_PARAGRAF_301|1Obdo/66/2018|2019-09-25|2|1|ECLI:SK:NSSR:2019:7215201451.1|33 111 eur s prísl.|JUDr. Jana Hullová|e rozhodnutie súdu prvej inštancie vychádza z nesprávneho právneho posúdenia veci, poukázal na nesprávnu aplikáciu ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka (ďalej aj ako „Obchodný zákonník“), keď súd prvej inštancie nepristúpil k u|129456_MATCH_PARAGRAF_301_1Obdo_66_2018.pdf
129385|MATCH_PARAGRAF_301|4Obdo/55/2018|2019-09-30|2|4|ECLI:SK:NSSR:2019:8812205785.1|27 873,76 eur s prísl.|JUDr. Gabriela Mederová|ateľa odkloniť, sa však týkajú posúdenia primeranosti zmluvnej pokuty v nadväznosti na použitie moderačného práva podľa § 301 ObchZ (1 ObdoV 93/2004) a skúmania dojednania o zmluvnej pokute s dobrými mravmi v zmysle § 39 OZ (2 Cdo/172/2007). Pok|129385_MATCH_PARAGRAF_301_4Obdo_55_2018.pdf
