experiment_name;document;query_key;csv_column;top_k;window_size;total_doc_chunks;fetched_chunks;coverage_pct;retrieved_chunk_ids;all_cosine_scores;avg_all_cosine;max_all_cosine;hit_cosine_scores;avg_hit_cosine;miss_cosine_scores;avg_miss_cosine;quotes_expected;quotes_found;hit_type;hit_score;reciprocal_rank;precision_at_k;rate_cosine_scores;principal_cosine_scores;outcome_cosine_scores;reasoning_cosine_scores;factors_cosine_scores;call1_chunks;call1_coverage;call2_chunks;call2_coverage;total_chunks;total_coverage
mE5base_200_top2_w0;KS_Bratislava_1Cob_130_2019_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;49;4;8.5;"[""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_12"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_15"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_12"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_11"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_36"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_12""]";[0.8468, 0.837, 0.8964, 0.8715, 0.856, 0.8518];0.8599;0.8964;[0.8468, 0.856];0.8514;[0.837, 0.8715];0.8542;2;2;PERFECT;1.0;0.5;0.5;;;[0.8468, 0.837];[0.8964, 0.8715];[0.856, 0.8518];;;;;;
mE5base_200_top2_w0;KS_Bratislava_1Cob_130_2019_00_dokument.pdf;per_call_coverage;;2;0;49;;;;;;;;;;;;;;;;;;;;;;9;17.5;4;8.5;11;20.9
mE5base_200_top2_w0;NS_SR_1Obdo_66_2018_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;43;4;11.8;"[""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_11"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_20"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_13"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_2""]";[0.8481, 0.8435, 0.8204, 0.8196];0.8329;0.8481;[0.8196];0.8196;[0.8481, 0.8435, 0.8204];0.8373;3;3;PERFECT;1.0;0.25;0.25;;;;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_66_2018_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;43;3;7.5;"[""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_21"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_13"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_13"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_0""]";[0.8553, 0.8542, 0.8251, 0.8181];0.8382;0.8553;[0.8542];0.8542;[0.8553, 0.8181];0.8367;1;1;PERFECT;1.0;0.5;0.3333;[0.8553, 0.8542];[0.8251, 0.8181];;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_66_2018_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;43;4;10.4;"[""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_21"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_16"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_39"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_21"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_39"", ""NS_SR_1Obdo_66_2018_00_dokument.pdf_chunk_4""]";[0.8524, 0.8495, 0.8797, 0.8781, 0.8563, 0.8548];0.8618;0.8797;[];;[0.8524, 0.8495, 0.8797, 0.8548];0.8591;4;0;MISS;0.0;0.0;0.0;;;[0.8524, 0.8495];[0.8797, 0.8781];[0.8563, 0.8548];;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_66_2018_00_dokument.pdf;per_call_coverage;;2;0;43;;;;;;;;;;;;;;;;;;;;;;6;16.4;4;10.4;9;24.1
mE5base_200_top2_w0;NS_SR_1Obdo_72_2019_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;67;6;7.8;"[""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_5"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_19"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_42"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_34"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_2"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_19"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_5"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_1""]";[0.8538, 0.8487, 0.8472, 0.8414, 0.8224, 0.8223, 0.8204, 0.815];0.8339;0.8538;[0.8538, 0.815];0.8344;[0.8487, 0.8472, 0.8414, 0.8224];0.8399;3;3;PERFECT;1.0;1.0;0.3333;;;;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_72_2019_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;67;2;4.3;"[""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_23"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_22"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_23"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_22""]";[0.8465, 0.8464, 0.8247, 0.8206];0.8346;0.8465;[];;[0.8465, 0.8464];0.8465;1;0;MISS;0.0;0.0;0.0;[0.8465, 0.8464];[0.8247, 0.8206];;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_72_2019_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;67;4;7.5;"[""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_22"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_9"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_22"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_23"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_22"", ""NS_SR_1Obdo_72_2019_00_dokument.pdf_chunk_24""]";[0.8619, 0.861, 0.8966, 0.8784, 0.8675, 0.8597];0.8709;0.8966;[0.861];0.861;[0.8619, 0.8784, 0.8597];0.8667;5;4;PARTIAL;0.8;0.3333;0.25;;;[0.8619, 0.861];[0.8966, 0.8784];[0.8675, 0.8597];;;;;;
mE5base_200_top2_w0;NS_SR_1Obdo_72_2019_00_dokument.pdf;per_call_coverage;;2;0;67;;;;;;;;;;;;;;;;;;;;;;8;12.1;4;7.5;10;15.3
mE5base_200_top2_w0;KS_Bratislava_2Co_380_2011_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;41;2;5.4;"[""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_17"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_16"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_16"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_17""]";[0.8549, 0.8481, 0.8291, 0.8266];0.8397;0.8549;[];;[0.8549, 0.8481];0.8515;3;0;MISS;0.0;0.0;0.0;;;;;;;;;;;
mE5base_200_top2_w0;KS_Bratislava_2Co_380_2011_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;41;4;10.4;"[""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_6"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_9"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_2"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_8""]";[0.831, 0.8302, 0.8139, 0.8121];0.8218;0.831;[0.831];0.831;[0.8302, 0.8139, 0.8121];0.8187;4;1;PARTIAL;0.25;1.0;0.25;[0.831, 0.8302];[0.8139, 0.8121];;;;;;;;;
mE5base_200_top2_w0;KS_Bratislava_2Co_380_2011_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;41;5;13.8;"[""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_13"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_18"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_18"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_9"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_31"", ""KS_Bratislava_2Co_380_2011_00_dokument.pdf_chunk_35""]";[0.8189, 0.8188, 0.8554, 0.8432, 0.8627, 0.8489];0.8413;0.8627;[];;[0.8189, 0.8188, 0.8432, 0.8627, 0.8489];0.8385;4;0;MISS;0.0;0.0;0.0;;;[0.8189, 0.8188];[0.8554, 0.8432];[0.8627, 0.8489];;;;;;
mE5base_200_top2_w0;KS_Bratislava_2Co_380_2011_00_dokument.pdf;per_call_coverage;;2;0;41;;;;;;;;;;;;;;;;;;;;;;6;15.8;5;13.8;10;26.6
mE5base_200_top2_w0;KS_Trenčín_8Cob_64_2011_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;17;4;27.5;"[""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_6"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_10"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_1"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_4""]";[0.8474, 0.8449, 0.8362, 0.8122];0.8352;0.8474;[0.8362];0.8362;[0.8474, 0.8449, 0.8122];0.8348;3;2;PARTIAL;0.6667;0.3333;0.25;;;;;;;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_64_2011_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;17;3;15.1;"[""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_12"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_7"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_2"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_7""]";[0.8756, 0.8651, 0.8294, 0.8169];0.8468;0.8756;[0.8651];0.8651;[0.8756, 0.8294];0.8525;2;1;PARTIAL;0.5;0.5;0.3333;[0.8756, 0.8651];[0.8294, 0.8169];;;;;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_64_2011_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;17;5;31.2;"[""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_15"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_14"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_13"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_6"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_6"", ""KS_Tren\u010d\u00edn_8Cob_64_2011_00_dokument.pdf_chunk_16""]";[0.8753, 0.8722, 0.8808, 0.8796, 0.866, 0.8569];0.8718;0.8808;[0.8753, 0.8722];0.8738;[0.8808, 0.8796, 0.8569];0.8724;4;2;PARTIAL;0.5;0.3333;0.4;;;[0.8753, 0.8722];[0.8808, 0.8796];[0.866, 0.8569];;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_64_2011_00_dokument.pdf;per_call_coverage;;2;0;17;;;;;;;;;;;;;;;;;;;;;;7;42.7;5;31.2;11;66.4
mE5base_200_top2_w0;KS_Trenčín_8Cob_258_2014_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;44;4;9.2;"[""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_21"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_15"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_10"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_8""]";[0.8492, 0.849, 0.8483, 0.8306];0.8443;0.8492;[];;[0.8492, 0.849, 0.8483, 0.8306];0.8443;3;0;MISS;0.0;0.0;0.0;;;;;;;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_258_2014_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;44;4;9.4;"[""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_22"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_14"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_3"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_39""]";[0.8557, 0.8523, 0.8223, 0.8196];0.8375;0.8557;[];;[0.8557, 0.8523, 0.8223, 0.8196];0.8375;2;0;MISS;0.0;0.0;0.0;[0.8557, 0.8523];[0.8223, 0.8196];;;;;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_258_2014_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;44;6;14.2;"[""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_38"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_26"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_28"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_25"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_37"", ""KS_Tren\u010d\u00edn_8Cob_258_2014_00_dokument.pdf_chunk_39""]";[0.8745, 0.8605, 0.8991, 0.8761, 0.8667, 0.8662];0.8739;0.8991;[];;[0.8745, 0.8605, 0.8991, 0.8761, 0.8667, 0.8662];0.8739;4;0;MISS;0.0;0.0;0.0;;;[0.8745, 0.8605];[0.8991, 0.8761];[0.8667, 0.8662];;;;;;
mE5base_200_top2_w0;KS_Trenčín_8Cob_258_2014_00_dokument.pdf;per_call_coverage;;2;0;44;;;;;;;;;;;;;;;;;;;;;;8;18.6;6;14.2;13;30.1
mE5base_200_top2_w0;KS_Trnava_32Cob_3_2021_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;57;4;7.1;"[""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_45"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_36"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_42"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_45"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_8"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_36""]";[0.8678, 0.8552, 0.8467, 0.8249, 0.8239, 0.8234];0.8403;0.8678;[0.8239];0.8239;[0.8678, 0.8552, 0.8467];0.8566;3;2;PARTIAL;0.6667;0.25;0.25;;;;;;;;;;;
mE5base_200_top2_w0;KS_Trnava_32Cob_3_2021_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;57;4;8.4;"[""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_10"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_47"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_48"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_14""]";[0.8744, 0.8646, 0.8282, 0.8255];0.8482;0.8744;[];;[0.8744, 0.8646, 0.8282, 0.8255];0.8482;3;0;MISS;0.0;0.0;0.0;[0.8744, 0.8646];[0.8282, 0.8255];;;;;;;;;
mE5base_200_top2_w0;KS_Trnava_32Cob_3_2021_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;57;4;8.3;"[""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_27"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_46"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_46"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_25"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_46"", ""KS_Trnava_32Cob_3_2021_00_dokument.pdf_chunk_9""]";[0.8711, 0.8587, 0.8799, 0.8796, 0.867, 0.8541];0.8684;0.8799;[];;[0.8711, 0.8587, 0.8796, 0.8541];0.8659;4;0;MISS;0.0;0.0;0.0;;;[0.8711, 0.8587];[0.8799, 0.8796];[0.867, 0.8541];;;;;;
mE5base_200_top2_w0;KS_Trnava_32Cob_3_2021_00_dokument.pdf;per_call_coverage;;2;0;57;;;;;;;;;;;;;;;;;;;;;;8;15.5;4;8.3;12;23.9
mE5base_200_top2_w0;KS_Banská_Bystrica_43CoPv_10_2023_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;98;10;8.2;"[""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_64"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_17"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_42"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_36"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_41"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_44"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_64"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_63"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_47"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_60"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_50"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_41""]";[0.8479, 0.8447, 0.8421, 0.8411, 0.8403, 0.8398, 0.8493, 0.8409, 0.837, 0.8306, 0.8287, 0.8275];0.8392;0.8493;[];;[0.8479, 0.8447, 0.8421, 0.8411, 0.8403, 0.8398, 0.8409, 0.837, 0.8306, 0.8287];0.8393;3;0;MISS;0.0;0.0;0.0;;;;;;;;;;;
mE5base_200_top2_w0;KS_Banská_Bystrica_43CoPv_10_2023_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;98;4;3.1;"[""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_32"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_31"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_93"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_83""]";[0.8531, 0.8508, 0.8093, 0.8072];0.8301;0.8531;[];;[0.8531, 0.8508, 0.8093, 0.8072];0.8301;2;0;MISS;0.0;0.0;0.0;[0.8531, 0.8508];[0.8093, 0.8072];;;;;;;;;
mE5base_200_top2_w0;KS_Banská_Bystrica_43CoPv_10_2023_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;98;4;3.4;"[""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_31"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_91"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_32"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_31"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_52"", ""KS_Bansk\u00e1_Bystrica_43CoPv_10_2023_00_dokument.pdf_chunk_32""]";[0.8703, 0.8528, 0.8883, 0.8754, 0.8545, 0.8526];0.8657;0.8883;[];;[0.8703, 0.8528, 0.8883, 0.8545];0.8665;3;0;MISS;0.0;0.0;0.0;;;[0.8703, 0.8528];[0.8883, 0.8754];[0.8545, 0.8526];;;;;;
mE5base_200_top2_w0;KS_Banská_Bystrica_43CoPv_10_2023_00_dokument.pdf;per_call_coverage;;2;0;98;;;;;;;;;;;;;;;;;;;;;;14;11.3;4;3.4;16;13.7
